Company Name,Net Sales,PBIDTM (%),PATM (%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Cons OCF,Cons PAT,OCF/PAT,FR_Dividend Pay Out Ratio(%),Free Float,Ev/EBITDA,M/Sales
Huhtamaki PPL Ltd.,1432.67,20.58,11.70,32.80,39.69,3.01,0.15,45.39,45.07,1.01,30.60,29.20,5.19,0.58
Indian Hume Pipe Company Ltd.,1364.20,20.12,8.05,28.11,31.97,1.97,1.75,20.92,27.97,0.75,17.32,28.23,6.96,0.55
Indostar Capital Finance Ltd.,0.46,-6257.08,-6257.11,-4.35,-4.35,0.00,0.00,#N/A,#N/A,#N/A,0.00,#N/A,0.00,0.00
INEOS Styrolution India Ltd.,1484.74,29.03,17.16,46.17,68.89,2.62,0.00,55.24,70.03,0.79,10.04,16.67,5.23,0.93
Infinite Computer Solutions (India) Ltd.,1766.56,35.26,24.27,57.68,65.98,2.43,0.25,99.96,107.18,0.93,12.30,16.30,5.93,1.03
Ingersoll-Rand (India) Ltd.,985.49,40.79,26.13,17.24,25.55,0.77,0.00,1.05,68.62,0.02,27.60,24.22,8.11,3.28
ITC Ltd.,45149.40,50.95,31.40,65.87,97.05,2.57,0.02,5508.74,5017.93,1.10,68.62,34.70,17.31,6.38
ITD Cementation India Ltd.,2864.59,21.55,1.31,5.25,25.54,2.05,3.03,122.22,9.39,13.02,18.41,24.53,4.60,0.19
Jagatjit Industries Ltd.,1996.22,12.37,3.65,26.76,31.88,3.77,1.76,21.91,25.24,0.87,0.00,7.76,10.87,0.56
Jagran Prakashan Ltd.,2442.18,62.26,34.07,59.24,70.34,1.59,0.55,233.23,207.79,1.12,53.27,26.88,11.04,3.31
Jash Engineering Ltd.,144.13,36.15,17.42,61.85,50.49,2.43,2.54,#N/A,#N/A,#N/A,12.56,#N/A,0.00,0.00
Jayant Agro-Organics Ltd.,2381.59,10.96,4.18,47.08,34.77,5.38,4.11,73.95,24.92,2.97,10.53,31.74,9.49,0.18
Jet Airways (India) Ltd.,29416.78,25.17,-1.17,0.00,16.32,1.43,-159.77,1729.01,-85.84,-20.14,0.00,13.35,13.39,0.46
Johnson Controls - Hitachi Air Conditioning India Ltd.,1528.02,15.27,7.07,36.82,40.00,3.10,1.10,-8.92,29.33,-0.30,11.74,27.70,9.57,0.89
Kansai Nerolac Paints Ltd.,4282.48,26.45,17.40,48.78,61.50,3.47,0.18,130.02,205.99,0.63,26.16,13.35,25.18,3.19
Kennametal India Ltd.,4048.40,209.59,118.15,191.17,278.30,9.99,0.00,128.61,177.10,0.73,86.88,10.80,10.00,2.70
Kingfa Science & Technology (India) Ltd.,280.23,11.18,1.36,8.52,18.74,3.60,3.43,-1.37,1.05,-1.31,36.68,29.64,7.04,0.18
Kokuyo Camlin Ltd.,718.23,14.30,4.65,25.93,35.01,3.92,1.24,23.04,8.57,2.69,17.81,34.76,10.73,0.75
Lemon Tree Hotels Ltd.,213.44,19.71,0.01,0.00,0.40,0.30,1.24,44.01,0.01,5679.50,0.00,#N/A,0.00,0.00
Linde India Ltd.,1971.49,36.47,18.07,17.26,18.87,1.02,0.84,140.12,93.63,1.50,13.66,10.52,14.10,2.52
Mac Charles (India) Ltd.,110.37,96.90,100.68,26.87,33.38,0.45,0.03,-8.04,27.78,-0.29,28.29,22.19,4.36,3.76
Mahanagar Gas Ltd.,2124.85,66.23,38.43,53.22,77.60,1.99,0.02,294.16,225.51,1.30,34.47,#N/A,0.00,0.00
Mahindra CIE Automotive Ltd.,3849.04,18.98,0.38,0.97,7.91,2.14,1.81,51.79,3.76,13.77,0.00,2.11,0.03,0.62
Maruti Suzuki India Ltd.,74311.60,20.24,11.13,34.84,45.45,4.61,0.06,3070.70,2382.40,1.29,9.10,24.35,8.65,1.30
Monsanto India Ltd. - (Amalgamated),726.82,39.26,22.86,23.60,27.87,1.47,0.00,89.60,42.83,2.09,40.30,18.29,20.53,4.10
Morganite Crucible (India) Ltd.,165.13,38.52,15.08,46.20,62.81,2.17,0.65,16.23,5.72,2.84,0.00,22.90,5.06,1.10
Moschip Technologies Ltd.,53.97,-17.60,-71.00,-97.90,-39.76,1.21,2.27,0.39,-9.58,-0.04,0.00,69.28,0.00,1.30
Mphasis Ltd.,10073.04,54.61,43.31,77.31,85.12,2.65,0.03,842.67,1090.75,0.77,7.70,21.30,9.51,2.64
MPS Ltd.,254.85,-3.86,-13.70,-20.04,-19.56,1.79,0.32,2.72,-8.81,-0.31,0.00,29.39,6.93,0.55
Multibase India Ltd.,75.60,23.67,14.14,27.95,41.33,2.70,0.09,3.66,2.91,1.26,0.00,25.00,10.08,1.19
Music Broadcast Ltd.,210.01,43.44,15.14,0.00,-2.28,1.07,-11.28,13.23,7.95,1.66,0.00,#N/A,0.00,0.00
Nestle India Ltd.,12509.49,39.96,25.68,227.93,319.12,5.55,0.00,1036.82,818.66,1.27,57.12,30.25,27.52,5.41
Newgen Software Technologies Ltd.,229.98,24.56,11.26,18.31,29.79,2.42,0.00,6.81,6.48,1.05,13.89,#N/A,0.00,0.00
NIIT Ltd.,2496.56,26.60,7.51,17.67,20.71,1.74,1.31,130.94,92.18,1.42,26.87,31.36,8.18,0.85
Nirlon Ltd.,222.20,192.63,0.65,1.50,19.38,0.28,23.87,97.09,0.36,270.16,0.00,39.88,21.63,5.06
Novartis India Ltd.,1502.42,58.88,38.98,45.25,67.60,1.29,0.00,90.55,146.67,0.62,21.79,22.38,10.40,3.11
Oracle Financial Services Software Ltd.,5993.86,86.84,74.14,45.84,51.49,0.98,0.00,631.75,1110.99,0.57,0.00,19.56,15.16,6.35
Orient Green Power Company Ltd.,417.52,114.85,8.77,2.23,10.84,0.23,1.29,-101.85,10.78,-9.45,0.00,12.54,17.72,7.12
Orient Refractories Ltd.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,0.00,#N/A,0.00,0.00
Page Industries Ltd.,983.12,42.24,23.68,105.11,96.38,3.54,1.86,-0.16,58.55,0.00,49.53,9.34,16.81,3.36
Panasonic Appliances India Company Ltd.,372.77,7.71,1.78,18.70,31.79,5.92,1.87,3.38,1.79,1.88,47.82,18.15,21.36,0.92
Panasonic Carbon India Company Ltd.,44.77,62.59,38.72,16.82,25.36,0.65,0.00,2.57,4.70,0.55,71.52,23.17,2.35,2.82
Pfizer Ltd.,2504.90,55.80,34.88,41.96,64.34,1.54,0.00,80.14,226.34,0.35,21.75,28.25,12.31,4.36
Phoenix Lamps Ltd. - (Amalgamated),837.57,7.91,-4.28,-17.29,3.99,2.83,2.12,39.01,-10.11,-3.86,0.00,23.82,43.18,0.68
Procter & Gamble Health Ltd.,1018.16,44.76,24.14,31.06,47.08,2.11,0.00,65.97,63.18,1.04,249.60,31.01,7.12,2.36
Procter & Gamble Hygiene & Health Care Ltd.,8022.96,189.60,136.63,253.87,316.34,7.75,0.00,357.08,301.75,1.18,48.41,25.21,25.31,6.99
Puravankara Ltd.,1199.45,97.35,39.71,15.56,22.48,0.41,1.50,41.75,117.91,0.35,18.10,4.78,18.62,4.66
Quess Corp Ltd.,549.86,7.21,1.20,11.63,19.48,3.04,1.57,8.86,1.74,5.10,0.00,#N/A,0.00,0.00
R Systems International Ltd.,581.09,19.67,11.55,19.29,17.46,2.38,0.01,16.82,16.78,1.00,17.62,24.78,1.56,0.47
Ranbaxy Laboratories Ltd.- (Amalgamation),17916.42,50.34,33.76,62.22,48.31,1.39,1.55,1538.60,1496.75,1.03,5.63,14.23,8.22,2.45
Rhodia Specialty Chemicals India Ltd.,322.18,9.25,-4.24,-15.90,0.14,2.94,1.92,-6.56,-3.69,1.78,0.00,16.49,124.99,0.46
Ricoh India Ltd.,593.24,19.83,11.04,26.54,41.80,2.55,0.00,-9.44,16.38,-0.58,0.00,25.14,3.65,0.57
Saint-Gobain Sekurit India Ltd.,187.89,32.15,19.29,32.98,32.17,2.61,0.01,17.26,10.01,1.72,0.00,14.23,18.88,2.83
Sanofi India Ltd.,2169.90,46.35,41.68,48.09,65.15,1.71,0.00,130.66,230.75,0.57,54.89,14.63,15.04,4.16
Saurashtra Cement Ltd.,785.40,11.26,-26.04,-3187.55,0.62,1.94,-18.25,32.29,-57.06,-0.57,0.00,15.13,4.30,0.24
Schaeffler India Ltd.,2080.16,36.47,21.84,47.15,70.93,3.21,0.00,132.01,121.50,1.09,6.84,20.22,6.27,1.30
Seamec Ltd.,204.75,-80.96,-131.21,-30.08,-28.42,0.42,0.00,-55.69,-67.17,0.83,0.00,20.31,0.00,3.31
Shreyas Shipping & Logistics Ltd.,380.77,34.68,13.42,18.84,19.82,1.56,0.83,25.69,12.78,2.01,20.10,26.71,32.12,0.55
Siemens Ltd.,19486.01,27.95,15.15,49.95,80.98,2.31,0.00,1008.99,757.77,1.33,22.25,29.28,19.22,2.70
Singer India Ltd.,951.26,37.69,18.59,576.31,468.24,41.46,-68.29,8.99,5.83,1.54,0.00,15.60,22.16,0.53
SKF India Ltd.,4136.82,27.37,16.14,45.29,68.26,3.71,0.00,114.69,177.02,0.65,20.85,26.34,9.30,1.43
Sobha Ltd.,2788.97,52.25,26.41,20.77,21.52,0.72,1.34,402.28,181.29,2.22,16.23,19.37,17.90,2.73
Solvay Pharma India Ltd. (Amalgamated),589.46,52.35,33.67,68.71,102.49,3.12,0.00,27.47,50.85,0.54,25.32,11.15,15.25,4.49
Sterlite Industries (India) Ltd.(Merged),60857.00,65.51,45.37,37.36,38.17,0.95,0.57,5850.88,5042.52,1.16,7.33,14.27,7.28,2.26
Sterlite Technologies Ltd.,4524.24,24.22,12.21,29.89,29.16,1.93,1.53,69.46,141.24,0.49,12.62,27.71,7.95,1.26
Stovec Industries Ltd.,118.31,37.93,22.83,43.36,65.51,2.13,0.00,11.33,7.22,1.57,29.81,29.00,4.64,1.36
Sumitomo Chemical India Ltd.,458.59,-5.06,-17.20,-52.95,-32.78,2.46,1.61,-7.80,-19.72,0.40,0.00,#N/A,0.00,0.00
Take Solutions Ltd.,1000.60,43.72,29.40,47.44,41.79,1.82,1.46,58.99,69.99,0.84,17.14,21.15,6.00,0.98
TCNS Clothing Co Ltd.,223.10,15.87,8.27,52.07,28.37,3.15,3.16,-0.66,4.61,-0.14,0.00,#N/A,0.00,0.00
Thomas Cook (India) Ltd.,635.91,62.48,29.67,29.48,37.79,0.84,1.19,8.24,47.16,0.17,16.84,21.57,15.02,4.51
Thyrocare Technologies Ltd.,155.73,100.18,63.76,90.56,111.97,1.80,0.74,30.78,24.83,1.24,0.00,#N/A,0.00,0.00
Timex Group India Ltd.,346.32,22.10,15.95,113.97,53.95,2.50,0.00,6.77,14.01,0.48,0.00,25.07,29.51,2.35
Timken India Ltd.,925.87,33.13,20.26,28.76,40.69,1.99,0.00,38.40,51.06,0.75,0.00,19.98,12.99,2.50
United Spirits Ltd.,14752.37,19.07,8.00,28.88,25.26,2.35,3.25,-115.80,569.52,-0.20,5.74,40.32,26.98,2.66
Vardhman Acrylics Ltd.,797.75,31.58,17.54,36.37,54.14,3.01,0.02,16.13,37.74,0.43,0.00,40.51,0.00,0.00
Vedanta Ltd.,20272.94,112.61,82.79,81.48,95.35,1.40,0.16,3540.59,4222.45,0.84,7.20,28.73,6.57,4.04
Vesuvius India Ltd.,880.23,36.96,20.64,41.92,64.93,2.11,0.00,30.72,48.85,0.63,16.62,21.39,6.25,1.38
Voith Paper Fabrics India Ltd.,102.67,55.79,30.59,18.60,27.99,1.08,0.00,9.95,8.57,1.16,15.37,24.52,2.63,1.75
VST Industries Ltd.,1163.07,22.82,13.58,75.41,107.36,4.79,0.00,84.78,95.01,0.89,73.14,20.20,7.74,1.92
Wabco India Ltd.,1785.03,42.14,26.07,77.58,115.27,4.42,0.00,49.21,127.43,0.39,7.44,17.70,10.63,2.50
Whirlpool Of India Ltd.,5405.59,17.66,10.13,119.88,128.83,5.30,0.00,205.30,166.03,1.24,0.00,20.32,11.61,1.38
Wintac Ltd.,53.33,35.78,5.63,8.55,16.90,1.18,1.76,3.46,0.78,4.43,0.00,30.95,6.41,0.75
Wyeth Ltd.- (Amalgamated),1282.51,74.77,50.26,99.83,142.02,2.96,0.01,151.00,165.29,0.91,30.24,25.39,10.95,4.29
Xchanging Solutions Ltd.,2115.41,16.07,-12.51,0.00,-27.60,2.97,-3.76,-27.06,-66.14,0.41,0.00,6.09,15.28,0.56
Zim Laboratories Ltd.,281.79,30.96,13.19,66.63,58.03,2.74,3.12,5.66,9.48,0.60,6.33,#N/A,0.00,0.00
